
*** Application Started (Version 1.02) : 11/7/2017 23:53:42 ***

Logging Mode: Normal
OS Major Ver: 6
Settings Loaded
No Updates Avalible
Background FastFile Worker started
Added 'mp_dr_bladev2.ff' to the Que
Added 'mp_dr_blue.ff' to the Que
Added 'mp_dr_bounce.ff' to the Que
Added 'mp_dr_bouncev2.ff' to the Que
Added 'mp_dr_boxroom.ff' to the Que
Added 'mp_dr_brainfuck.ff' to the Que
Added 'mp_dr_bro.ff' to the Que
Added 'mp_dr_buggedlikehell.ff' to the Que
Added 'mp_dr_caelum.ff' to the Que
Added 'mp_dr_caution.ff' to the Que
Added 'mp_dr_clifside.ff' to the Que
Added 'mp_dr_cloudy.ff' to the Que
Added 'mp_dr_crawl.ff' to the Que
Added 'mp_dr_darmuh.ff' to the Que
Added 'mp_dr_darmuhv2.ff' to the Que
Added 'mp_dr_dawn.ff' to the Que
Added 'mp_dr_dball_gt.ff' to the Que
Added 'mp_dr_deadzone.ff' to the Que
Added 'mp_dr_destiny.ff' to the Que
Added 'mp_dr_detained.ff' to the Que
Added 'mp_dr_digital.ff' to the Que
Added 'mp_dr_digitalworld_v2.ff' to the Que
Added 'mp_dr_disco.ff' to the Que
Added 'mp_dr_easy_v2.ff' to the Que
Added 'mp_dr_evangelion.ff' to the Que
Added 'mp_dr_experts.ff' to the Que
Added 'mp_dr_fallrun.ff' to the Que
Added 'mp_dr_famous.ff' to the Que
Added 'mp_dr_finalshuttle.ff' to the Que
Added 'mp_dr_framey.ff' to the Que
Added 'mp_dr_freakyland.ff' to the Que
Added 'mp_dr_free.ff' to the Que
Added 'mp_dr_glass2.ff' to the Que
Added 'mp_dr_glass3.ff' to the Que
Added 'mp_dr_glow.ff' to the Que
Added 'mp_dr_gohome.ff' to the Que
Added 'mp_dr_gooby.ff' to the Que
Added 'mp_dr_guest_list.ff' to the Que
Added 'mp_dr_h2o.ff' to the Que
Added 'mp_dr_hardest_game.ff' to the Que
Added 'mp_dr_hardstyle.ff' to the Que
Added 'mp_dr_harrypotter.ff' to the Que
Added 'mp_dr_heaven.ff' to the Que
Added 'mp_dr_hilly_v2.ff' to the Que
Added 'mp_dr_holyshiet.ff' to the Que
Added 'mp_dr_imaginary.ff' to the Que
Added 'mp_dr_impossibru.ff' to the Que
Added 'mp_dr_indipyramid.ff' to the Que
Added 'mp_dr_insane.ff' to the Que
Added 'mp_dr_inside.ff' to the Que
Added 'mp_dr_iwillrockyou.ff' to the Que
Added 'mp_dr_jump.ff' to the Que
Added 'mp_dr_jump_hard.ff' to the Que
Added 'mp_dr_jumpv2.ff' to the Que
Added 'mp_dr_jungletemple.ff' to the Que
Added 'mp_dr_jurapark.ff' to the Que
Added 'mp_dr_laboratory.ff' to the Que
Added 'mp_dr_lazyriver.ff' to the Que
Added 'mp_dr_legion.ff' to the Que
Added 'mp_dr_levels.ff' to the Que
Added 'mp_dr_lifes.ff' to the Que
Added 'mp_dr_likeabossv2.ff' to the Que
Added 'mp_dr_lithium.ff' to the Que
Added 'mp_dr_littlemap.ff' to the Que
Added 'mp_dr_lolz.ff' to the Que
Added 'mp_dr_lovelyplanet.ff' to the Que
Added 'mp_dr_lxury.ff' to the Que
Added 'mp_dr_mario_land.ff' to the Que
Added 'mp_dr_meatboy.ff' to the Que
Added 'mp_dr_merry_xmas.ff' to the Que
Added 'mp_dr_mew.ff' to the Que
Added 'mp_dr_mineshaft.ff' to the Que
Added 'mp_dr_minibounce_v2.ff' to the Que
Added 'mp_dr_mirrors_edge.ff' to the Que
Added 'mp_dr_misty.ff' to the Que
Added 'mp_dr_neon.ff' to the Que
Added 'mp_dr_nighty.ff' to the Que
Added 'mp_dr_nighty_v2.ff' to the Que
Added 'mp_dr_nitro.ff' to the Que
Added 'mp_dr_noob.ff' to the Que
Added 'mp_dr_nuka2.ff' to the Que
Added 'mp_dr_nxs_jump.ff' to the Que
Added 'mp_dr_nxs_road.ff' to the Que
Added 'mp_dr_outside.ff' to the Que
Added 'mp_dr_overgrown.ff' to the Que
Added 'mp_dr_overgrownv2.ff' to the Que
Added 'mp_dr_pacman.ff' to the Que
Added 'mp_dr_parkour.ff' to the Que
Added 'mp_dr_physx.ff' to the Que
Added 'mp_dr_pixelate.ff' to the Que
Added 'mp_dr_pluvious.ff' to the Que
Added 'mp_dr_pool.ff' to the Que
Added 'mp_dr_portal.ff' to the Que
Added 'mp_dr_poseidon.ff' to the Que
Added 'mp_dr_poseidon_2.ff' to the Que
Added 'mp_dr_prison_escape.ff' to the Que
Added 'mp_dr_prisonv2.ff' to the Que
Added 'mp_dr_pro.ff' to the Que
Added 'mp_dr_pro_v2.ff' to the Que
Added 'mp_dr_radical.ff' to the Que
Added 'mp_dr_rage.ff' to the Que
Added 'mp_dr_rainbow.ff' to the Que
Added 'mp_dr_ravine.ff' to the Que
Added 'mp_dr_rock.ff' to the Que
Added 'mp_dr_royals.ff' to the Que
Added 'mp_dr_run.ff' to the Que
Added 'mp_dr_samsara.ff' to the Que
Added 'mp_dr_sand.ff' to the Que
Added 'mp_dr_sewers.ff' to the Que
Added 'mp_dr_shield.ff' to the Que
Added 'mp_dr_shipment.ff' to the Que
Added 'mp_dr_simple.ff' to the Que
Added 'mp_dr_skydeath.ff' to the Que
Added 'mp_dr_skypower.ff' to the Que
Added 'mp_dr_slay.ff' to the Que
Added 'mp_dr_slayv2.ff' to the Que
Added 'mp_dr_sm_world.ff' to the Que
Added 'mp_dr_sm64.ff' to the Que
Added 'mp_dr_snip.ff' to the Que
Added 'mp_dr_something.ff' to the Que
Added 'mp_dr_spaceball_v2.ff' to the Que
Added 'mp_dr_spacetrip.ff' to the Que
Added 'mp_dr_spacetunnel.ff' to the Que
Added 'mp_dr_spedex.ff' to the Que
Added 'mp_dr_spongebob.ff' to the Que
Added 'mp_dr_steelv2.ff' to the Que
Added 'mp_dr_stonerun.ff' to the Que
Added 'mp_dr_stormyascent.ff' to the Que
Added 'mp_dr_stxly.ff' to the Que

*** Application Started (Version 1.02) : 11/7/2017 23:56:3 ***

Logging Mode: Normal
OS Major Ver: 6
Settings Loaded
No Updates Avalible
Background FastFile Worker started
Added 'mp_deathrun_framey_v3.ff' to the Que
Added 'mp_deathrun_iceops.ff' to the Que
Added 'mp_deathrun_illusion.ff' to the Que
Added 'mp_deathrun_inferno.ff' to the Que
Added 'mp_deathrun_islands.ff' to the Que
Added 'mp_deathrun_jam.ff' to the Que
Added 'mp_deathrun_life.ff' to the Que
Added 'mp_deathrun_godfather.ff' to the Que
Added 'mp_deathrun_gold.ff' to the Que
Added 'mp_deathrun_haunted.ff' to the Que
Added 'mp_deathrun_highrise.ff' to the Que
Added 'mp_deathrun_hop.ff' to the Que
Added 'mp_dr_likeabossv2.ff' to the Que
Added 'mp_dr_lithium.ff' to the Que
Added 'mp_dr_littlemap.ff' to the Que
Added 'mp_deathrun_liferun.ff' to the Que
Added 'mp_deathrun_mecha.ff' to the Que
Added 'mp_deathrun_mine.ff' to the Que
Added 'mp_deathrun_mirroredge.ff' to the Que
Added 'mp_deathrun_nightrun.ff' to the Que
Added 'mp_deathrun_nukebase.ff' to the Que
Added 'mp_deathrun_ponies.ff' to the Que
Added 'mp_deathrun_portal_v3.ff' to the Que
Added 'mp_deathrun_qube.ff' to the Que
Added 'mp_deathrun_sanctuary.ff' to the Que
Added 'mp_deathrun_sao.ff' to the Que
Added 'mp_deathrun_saw.ff' to the Que
Added 'mp_deathrun_scoria.ff' to the Que
Added 'mp_deathrun_semtex.ff' to the Que
Added 'mp_deathrun_shadow.ff' to the Que
Added 'mp_deathrun_sick.ff' to the Que
Added 'mp_deathrun_sick_v2.ff' to the Que
Added 'mp_deathrun_skypillar.ff' to the Que
Added 'mp_deathrun_sm_v2.ff' to the Que
Added 'mp_deathrun_spaceball.ff' to the Que
Added 'mp_deathrun_special.ff' to the Que
Added 'mp_deathrun_supermario.ff' to the Que
Added 'mp_deathrun_tropic.ff' to the Que
Added 'mp_deathrun_uncharted.ff' to the Que
Added 'mp_deathrun_underworld.ff' to the Que
Added 'mp_deathrun_waterworld.ff' to the Que
Added 'mp_dr_35.ff' to the Que
Added 'mp_dr_abandoned.ff' to the Que
Added 'mp_dr_alley.ff' to the Que
Added 'mp_dr_android.ff' to the Que
Added 'mp_dr_anime_world.ff' to the Que
Added 'mp_dr_anotherworld.ff' to the Que
Added 'mp_dr_antichamber.ff' to the Que
Added 'mp_dr_apocalypse.ff' to the Que
Added 'mp_dr_apocalypse_v2.ff' to the Que
Added 'mp_dr_away.ff' to the Que
Added 'mp_dr_bananaphone.ff' to the Que
Added 'mp_dr_bananaphone_v2.ff' to the Que
Added 'mp_dr_beach.ff' to the Que
Added 'mp_dr_beat.ff' to the Que
Added 'mp_dr_bigfall.ff' to the Que
Added 'mp_dr_biohazard.ff' to the Que
Added 'mp_dr_blackandwhite.ff' to the Que
Added 'mp_dr_blacknight.ff' to the Que
Added 'mp_dr_blacknigt.ff' to the Que
Added 'mp_dr_bladev2.ff' to the Que
Added 'mp_dr_blue.ff' to the Que
Added 'mp_dr_bounce.ff' to the Que
Added 'mp_dr_bouncev2.ff' to the Que
Added 'mp_dr_boxroom.ff' to the Que
Added 'mp_dr_brainfuck.ff' to the Que
Added 'mp_dr_bro.ff' to the Que
Added 'mp_dr_buggedlikehell.ff' to the Que
Added 'mp_dr_caelum.ff' to the Que
Added 'mp_dr_caution.ff' to the Que
Added 'mp_dr_clifside.ff' to the Que
Added 'mp_dr_cloudy.ff' to the Que
Added 'mp_dr_crawl.ff' to the Que
Added 'mp_dr_darmuh.ff' to the Que
Added 'mp_dr_darmuhv2.ff' to the Que
Added 'mp_dr_dawn.ff' to the Que
Added 'mp_dr_dball_gt.ff' to the Que
Added 'mp_dr_deadzone.ff' to the Que
Added 'mp_dr_destiny.ff' to the Que
Added 'mp_dr_detained.ff' to the Que
Added 'mp_dr_digital.ff' to the Que
Added 'mp_dr_digitalworld_v2.ff' to the Que
Added 'mp_dr_disco.ff' to the Que
Added 'mp_dr_easy_v2.ff' to the Que
Added 'mp_dr_evangelion.ff' to the Que
Added 'mp_dr_experts.ff' to the Que
Added 'mp_dr_fallrun.ff' to the Que
Added 'mp_dr_famous.ff' to the Que
Added 'mp_dr_finalshuttle.ff' to the Que
Added 'mp_dr_framey.ff' to the Que
Added 'mp_dr_freakyland.ff' to the Que
Added 'mp_dr_free.ff' to the Que
Added 'mp_dr_glass2.ff' to the Que
Added 'mp_dr_glass3.ff' to the Que
Added 'mp_dr_glow.ff' to the Que
Added 'mp_dr_gohome.ff' to the Que
Added 'mp_dr_gooby.ff' to the Que
Added 'mp_dr_guest_list.ff' to the Que
Added 'mp_dr_h2o.ff' to the Que
Added 'mp_dr_hardest_game.ff' to the Que
Added 'mp_dr_hardstyle.ff' to the Que
Added 'mp_dr_harrypott
*** Application Started (Version 1.02) : 11/7/2017 23:58:8 ***

Logging Mode: Normal
OS Major Ver: 6
Settings Loaded
No Updates Avalible
Background FastFile Worker started
Added 'mp_dr_alley.ff' to the Que
Added 'mp_dr_android.ff' to the Que
Added 'mp_dr_anime_world.ff' to the Que
Added 'mp_dr_anotherworld.ff' to the Que
Added 'mp_dr_antichamber.ff' to the Que
Added 'mp_deathrun_sick_v2.ff' to the Que
Added 'mp_deathrun_sm_v2.ff' to the Que
Added 'mp_deathrun_spaceball.ff' to the Que
Added 'mp_deathrun_special.ff' to the Que
Added 'mp_deathrun_supermario.ff' to the Que
Added 'mp_deathrun_tropic.ff' to the Que
Added 'mp_deathrun_uncharted.ff' to the Que
Added 'mp_deathrun_underworld.ff' to the Que
Added 'mp_dr_35.ff' to the Que
Added 'mp_dr_abandoned.ff' to the Que

*** Application Started (Version 1.02) : 11/7/2017 23:58:30 ***

Logging Mode: Normal
OS Major Ver: 6
Settings Loaded
No Updates Avalible
Background FastFile Worker started
Added 'mp_deathrun_special.ff' to the Que
Added 'mp_deathrun_supermario.ff' to the Que
Added 'mp_deathrun_tropic.ff' to the Que
Added 'mp_deathrun_uncharted.ff' to the Que
Added 'mp_deathrun_sick_v2.ff' to the Que
Added 'mp_deathrun_sm_v2.ff' to the Que
Added 'mp_deathrun_spaceball.ff' to the Que
Failed To write: C:\Users\Alexis\Desktop\gsc\mp_deathrun_supermario\
Added 'mp_dr_alley.ff' to the Que
Added 'mp_dr_android.ff' to the Que
Added 'mp_dr_anime_world.ff' to the Que
Added 'mp_dr_anotherworld.ff' to the Que
Added 'mp_deathrun_underworld.ff' to the Que
Added 'mp_dr_35.ff' to the Que
Added 'mp_dr_abandoned.ff' to the Que

*** Application Started (Version 1.02) : 12/7/2017 0:2:58 ***

Logging Mode: Normal
OS Major Ver: 6
Settings Loaded
No Updates Avalible
Background FastFile Worker started
Added 'mp_dr_simple.ff' to the Que
Added 'mp_dr_skypower.ff' to the Que
Added 'mp_dr_slay.ff' to the Que
Added 'mp_dr_sm_world.ff' to the Que
Added 'mp_dr_shield.ff' to the Que
Added 'mp_dr_shipment.ff' to the Que
Added 'mp_dr_spacetrip.ff' to the Que
Added 'mp_dr_spacetunnel.ff' to the Que
Added 'mp_dr_spedex.ff' to the Que
Added 'mp_dr_spongebob.ff' to the Que
Added 'mp_dr_sm64.ff' to the Que
Added 'mp_dr_snip.ff' to the Que
Added 'mp_dr_something.ff' to the Que
Added 'mp_dr_spaceball_v2.ff' to the Que
Failed To write: C:\Users\Alexis\Desktop\gsc\mp_dr_snip\ERROR: Could not open 'vision\mp_dr_snip.vision'
ERROR: failed loading 'vision\mp_dr_snip.vision' of type 'rawfile'
ERROR: alias 'joker' already added - ignoring

Added 'mp_dr_stormyascent.ff' to the Que
Added 'mp_dr_stxly.ff' to the Que
Added 'mp_dr_terror.ff' to the Que
Added 'mp_dr_steelv2.ff' to the Que
Added 'mp_dr_stonerun.ff' to the Que
